Browser Size,Sessions,Pageviews
1320x640,399,664
410x860,397,463
800x1160,397,533
1520x910,396,666
2540x1340,396,597
420x630,396,484
800x330,395,527
1080x730,394,596
1280x560,394,709
1320x650,394,614
1400x650,394,711
1580x710,394,710
1660x900,393,682
1670x940,393,671
1320x780,392,614
1430x640,391,756
1140x580,390,787
1340x770,390,705
1900x1070,390,800
740x740,390,567
1170x710,389,813
1790x940,389,626
340x580,389,516
2610x1330,388,651
1010x650,386,568
1230x680,386,634
1790x900,386,674
420x850,386,481
770x890,386,523
1180x640,385,640
1200x770,384,657
1210x590,384,657
1290x650,384,950
600x860,384,496
1140x750,383,672
1180x720,383,624
1210x680,383,748
1410x650,383,842
680x640,383,551
1160x730,382,712
1220x620,382,652
1430x630,382,709
1100x710,381,628
1270x570,380,687
1280x770,380,626
1330x670,380,773
1370x590,380,733
670x380,380,483
800x1140,380,487
1220x550,379,737
1170x650,378,662
1790x910,378,784
1910x1020,378,636
2540x1290,377,738
1110x690,375,591
1080x520,374,639
1190x660,374,773
1230x620,374,587
1910x920,374,876
1490x900,373,634
230x290,373,515
340x620,373,439
1220x650,372,672
1410x800,372,769
600x920,372,557
1210x740,371,758
1890x950,371,593
1920x1010,370,577
1210x650,369,747
1240x750,369,639
1270x760,369,633
940x950,369,618
1920x920,368,598
670x790,368,624
670x760,367,593
1080x670,366,578
1260x1320,366,705
1210x730,365,620
1160x710,364,662
1190x620,364,633
1230x660,364,690
1200x610,363,724
1300x760,363,607
940x910,363,581
1520x880,361,675
600x790,361,538
1150x550,360,761
1260x850,360,602
390x610,360,492
710x730,360,495
1230x560,358,628
1170x700,357,719
1920x900,357,558
1920x1200,356,400
1350x550,355,556
720x750,355,495
1010x640,354,540
1170x740,354,576
1190x750,354,574
1690x920,354,594
1280x550,353,615
2560x1360,353,594
410x540,353,409
1110x740,352,573
1300x640,352,596
1480x830,352,624
740x710,352,522
1010x600,349,547
1150x710,349,595
1210x750,349,606
1290x660,349,628
1340x600,348,544
1590x760,348,623
1680x820,348,616
1210x690,347,616
1300x650,347,689
1500x700,346,636
1130x710,345,677
1320x630,345,643
1810x920,345,592
1300x670,344,594
1390x670,344,557
1700x1290,344,613
1370x580,343,896
1660x860,343,567
1410x790,342,563
1660x930,342,525
830x1050,342,451
1020x1020,341,372
1170x730,341,601
700x700,341,516
720x760,341,486
1280x880,340,445
1900x1040,340,581
340x630,340,401
1010x730,339,502
1180x650,339,602
1220x640,339,594
1320x620,339,680
1520x800,339,544
1580x1060,339,601
2560x1300,338,606
1010x620,337,576
780x710,337,751
1500x740,335,596
1520x860,335,572
1690x840,334,661
1080x490,333,650
1120x730,333,570
1190x640,333,579
1310x610,333,519
730x740,333,551
1320x790,332,614
1360x800,332,588
1020x710,331,535
1210x560,331,555
720x720,331,528
810x1020,331,415
1280x1610,330,330
1290x620,330,520
1370x880,330,517
940x870,328,614
1010x680,327,593
1040x740,327,569
1200x560,327,636
1210x670,327,636
1280x910,327,466
1140x710,326,574
1170x720,326,584
1170x750,326,537
660x610,326,400
1220x630,325,572
1420x810,325,481
1010x500,324,567
1170x570,324,682
1180x600,324,717
1690x960,324,521
420x770,324,398
780x740,324,502
830x1080,324,476
1260x950,323,522
1160x740,322,478
1360x640,322,574
1900x840,322,651
740x730,322,464
1020x1280,321,394
1900x1080,321,525
360x500,321,439
790x730,321,447
1010x470,320,888
1350x840,320,596
1400x790,320,585
1210x620,319,673
700x820,319,438
1180x860,318,509
1290x610,318,545
1670x920,318,630
740x720,318,680
770x870,318,392
1180x610,317,613
1200x580,317,567
1240x760,317,583
1360x650,317,478
1460x700,317,542
2380x1170,317,762
1010x610,316,576
1020x740,315,480
1110x610,315,562
1190x680,315,602
730x730,315,527
750x690,315,512
1020x540,314,582
1300x770,314,579
1270x1610,313,316
1420x640,313,554
1520x650,313,494
1910x880,313,626
1130x740,312,534
1140x740,312,520
1150x720,312,533
1160x750,312,555
1250x540,312,532
1150x660,311,649
1150x740,311,523
1210x660,311,561
730x710,311,489
1110x680,310,501
1220x570,310,717
1400x810,310,412
1670x870,310,574
1170x620,309,557
1190x630,309,537
1290x770,309,573
1110x750,308,474
1150x730,308,481
1260x510,308,551
1300x620,308,606
830x990,308,465
1910x860,307,721
1910x870,307,543
760x730,307,487
790x740,307,529
940x900,307,516
1480x750,306,550
390x620,306,375
1430x900,305,481
1840x950,305,588
1090x540,304,674
1250x550,304,555
420x740,304,391
1150x630,303,617
1150x700,303,578
1660x870,303,590
2030x950,303,593
1140x640,302,509
1480x870,302,477
1550x900,301,530
1160x720,300,572
1520x830,300,524
1890x900,300,539
760x750,300,448
1140x730,299,533
1210x640,299,523
350x570,299,400
600x870,299,362
800x1190,299,424
1180x620,298,529
1180x760,298,449
1680x960,298,498
660x640,298,507
1150x750,296,505
1160x700,296,492
730x750,296,424
770x730,296,458
1170x660,295,520
1340x570,295,556
1270x800,294,485
1590x770,294,521
1890x930,293,563
420x670,293,358
430x930,293,308
740x850,293,494
1160x650,292,608
1320x880,292,441
710x760,292,422
1210x610,291,511
1280x840,291,478
1510x720,291,610
1600x880,291,549
1690x760,291,598
360x730,291,347
780x730,291,445
1020x800,290,421
1170x690,290,499
1720x840,290,499
1020x1250,289,462
1140x700,289,605
1170x590,289,491
1320x600,289,602
1390x650,289,490
1140x670,288,675
1160x690,288,513
1190x610,288,583
410x640,288,377
320x610,287,435
750x760,287,411
1120x710,286,486
1170x560,286,506
320x470,286,353
770x750,286,431
800x740,286,479
1100x750,285,483
710x740,285,377
1230x760,284,458
1270x770,284,594
1350x560,284,484
990x920,284,432
1140x680,283,452
1180x680,283,549
1280x1020,283,289
1600x850,283,962
1740x890,283,636
1030x730,282,390
1090x730,282,450
1100x730,282,459
1140x690,282,500
1310x590,282,488
1670x880,282,441
1380x790,281,512
1790x920,281,500
1210x600,280,476
1420x630,280,512
1670x860,280,558
1790x960,280,498
1020x600,279,444
1030x710,279,466
1250x770,279,462
1790x1020,278,410
1080x450,277,503
1200x570,277,504
1670x840,277,450
1120x720,276,477
1180x570,276,514
1370x810,276,491
1540x740,276,453
740x750,276,418
1840x920,275,615
2540x1280,275,485
1120x700,274,471
1120x740,274,487
1450x790,274,434
790x710,274,420
1020x560,273,429
1080x590,273,462
1130x730,273,461
1090x710,272,474
1100x560,272,655
1270x560,272,466
1370x930,272,460
1690x860,272,495
1810x890,272,441
750x660,272,396
770x720,272,451
1150x690,271,497
1310x600,271,449
1390x790,271,511
930x920,271,576
1070x740,270,481
1370x780,270,567
1670x910,270,540
1100x740,269,517
1140x490,269,363
1180x630,269,398
1290x600,269,517
1340x800,269,525
1510x700,269,531
320x630,269,400
1130x720,268,452
1140x660,268,473
1200x800,268,394
1390x780,268,525
1490x870,268,478
1690x830,268,518
1110x640,267,412
1360x790,267,476
1380x640,267,564
1730x840,267,599
1910x960,267,440
810x740,267,408
1100x640,266,485
1190x590,266,518
1480x710,266,491
1580x1090,266,401
1790x990,266,404
1150x640,265,424
1390x810,265,446
1410x640,265,472
700x730,265,381
1150x650,264,482
1260x830,264,507
1520x640,264,420
1200x810,263,487
1910x930,263,535
1100x720,262,408
1010x700,261,433
1050x730,261,420
1100x630,261,446
350x600,261,317
1330x800,260,501
1670x970,259,408
810x950,259,362
1210x630,258,497
700x740,258,397
740x700,258,371
1050x710,257,473
1130x690,257,465
1330x590,257,402
1490x880,257,454
1920x1060,257,401
1160x660,256,500
1170x680,256,502
1260x800,256,455
1480x840,256,402
1010x480,255,487
1200x550,255,490
1400x780,255,429
700x750,255,367
720x700,255,362
1460x730,254,469
1490x930,254,397
960x560,254,412
1080x620,253,387
1210x760,253,413
340x490,253,346
1080x1610,252,479
1150x670,252,456
1190x570,252,441
1220x760,252,480
1300x600,252,524
1500x860,252,449
1180x770,251,444
1230x540,251,777
760x690,251,345
1050x750,250,483
1370x860,250,444
1590x790,250,471
1810x980,250,481
410x570,250,290
760x720,250,389
1120x650,249,432
1130x750,249,391
1140x630,249,513
1160x760,249,420
1320x860,249,385
1920x990,249,389
800x710,249,406
1060x710,248,448
1080x1340,248,319
1090x720,248,404
1140x600,248,565
1150x570,248,502
1230x550,248,542
1340x790,248,412
1920x870,248,443
550x730,248,338
590x730,248,343
940x1000,248,408
1010x670,247,380
1090x740,246,482
1100x700,246,377
1150x760,246,493
1410x780,246,396
1670x890,246,451
2550x1330,246,426
730x720,246,405
1140x520,245,346
1170x600,245,508
1500x710,245,410
1900x1050,245,465
1410x630,244,435
1540x860,244,422
710x750,244,346
1010x570,243,396
710x720,243,340
790x750,243,394
1170x640,242,429
1230x770,242,547
1450x740,242,440
1170x610,241,402
1380x780,241,502
1550x930,241,406
1010x750,240,409
1480x900,240,403
1920x1090,240,450
350x580,240,301
820x730,240,355
1010x720,239,397
1100x610,239,416
1320x940,239,327
700x710,239,315
710x710,239,303
960x430,239,400
1130x700,238,445
640x280,238,289
1050x700,237,389
1140x570,237,421
1280x540,237,474
1320x900,237,367
1380x630,237,439
1380x810,237,444
820x710,237,388
1010x1370,236,236
1160x620,236,385
1460x720,236,404
1690x780,236,435
770x990,236,275
1030x740,235,374
1030x750,235,378
1130x650,235,429
1690x790,235,472
680x660,235,379
770x860,235,313
920x460,235,311
1060x690,234,388
1180x590,234,375
1300x800,234,435
2180x1090,234,390
620x560,234,340
1040x710,233,411
1080x640,233,420
1130x600,233,454
1310x800,233,427
1410x810,233,418
1660x800,233,374
720x770,233,423
1120x680,232,446
1620x780,232,804
1020x1370,231,248
1120x620,231,377
1390x640,231,412
790x720,231,409
1160x630,230,384
1760x840,230,391
760x700,230,322
1070x710,229,431
1090x550,229,411
1120x750,229,377
1140x550,229,438
1160x640,229,384
1170x760,229,427
1440x600,229,525
740x690,229,353
810x730,229,382
1040x700,228,380
1140x620,227,410
1260x810,227,415
1330x580,227,474
1490x710,227,415
730x700,227,319
1010x690,226,369
1160x590,226,429
1370x840,226,379
1870x900,226,420
1050x740,225,342
1080x760,225,382
1100x650,225,446
1150x600,225,469
1170x670,225,435
800x750,225,389
1330x790,224,435
1580x810,224,334
2110x980,224,519
850x710,224,375
