width,height,pageviews
410,720,285997
1900,940,244655
380,550,140119
1350,660,154232
1260,580,193744
1260,610,177411
380,640,117075
1900,970,158464
1350,630,136363
1520,720,137956
1260,960,81394
1520,750,116960
410,620,57228
390,660,52999
1440,820,60698
1370,620,44225
1440,790,54458
1350,770,37420
360,560,38085
410,710,36546
360,630,33787
360,650,31589
360,670,29595
380,630,29712
1440,840,33377
360,610,29184
410,730,28370
410,700,27334
430,750,25574
410,760,25640
1280,720,23245
1370,650,25983
320,450,23292
410,690,22706
410,780,21767
360,620,22082
1900,880,34026
1260,720,17421
1440,730,27614
380,540,19557
1590,1200,14973
1580,760,25584
360,590,17530
1580,790,22199
1020,670,17778
380,810,13124
1900,910,23590
360,660,15092
1440,740,20233
1440,710,22375
1010,1020,11951
410,750,14370
1440,760,19729
1350,600,17586
1520,700,18043
410,770,13923
1440,720,19028
1370,670,13752
360,520,12220
380,620,12107
1260,520,19250
360,600,12073
1440,700,17060
380,560,11791
360,510,11657
360,570,11245
1260,550,18612
1440,690,15434
1350,570,14282
1900,980,15380
1440,750,14588
1350,800,15436
1520,670,15731
1350,640,12207
410,610,10390
410,740,10328
380,610,10753
1420,760,19723
1900,950,13239
1260,620,13259
1440,770,14160
360,680,9267
1660,910,12935
390,670,8815
1520,760,11523
410,680,8150
410,650,8090
390,730,8563
1350,650,9950
380,720,7663
1020,700,8244
1260,590,10085
1900,1060,11361
360,640,7501
410,790,7497
410,600,8240
380,580,6822
1420,790,12107
380,530,8146
1260,880,10037
1350,610,9025
1260,910,9641
320,490,7456
1900,920,9493
770,920,8131
1280,690,10108
1490,860,10840
1440,800,9905
1080,710,7735
1520,730,9945
1520,710,8735
410,670,6683
320,510,6778
1260,560,8941
1370,920,8038
1430,790,8696
1440,680,9462
1490,890,9266
1660,940,8716
430,740,5914
2540,1300,7978
1350,700,6622
320,440,5770
1430,820,7571
390,680,6089
1350,670,7108
1370,700,5961
320,530,5460
410,800,5276
410,900,5139
410,810,5326
1110,730,5946
390,720,5029
1900,1010,6686
1260,650,6957
1900,930,7435
1440,810,6704
1920,970,6170
1540,750,5831
380,670,4651
1260,660,6325
380,730,4665
1260,690,6527
1920,940,6090
1190,730,5352
410,830,4318
410,660,4151
360,580,4718
1280,630,5952
1520,740,5521
1900,1090,6350
380,520,4310
1280,610,5928
1900,960,5689
1280,650,5792
1020,650,5067
1280,740,5340
1280,660,5509
320,460,4185
2540,1330,5709
1430,730,5943
1900,890,6375
940,930,5988
1300,580,4316
1280,670,5566
1540,710,4524
1280,640,5290
1430,710,5679
360,700,3894
1260,600,5453
1520,790,4712
410,590,3783
1350,620,4577
1370,660,4425
1480,860,5704
1430,720,4981
410,630,3544
790,600,10267
1280,620,4506
750,710,4462
1520,660,4690
940,960,4212
1260,740,3904
1430,740,4504
1370,770,3336
1430,690,4510
320,560,3175
320,480,3021
800,600,5802
1020,640,3259
1430,700,4523
380,490,2690
380,650,3112
390,650,2946
1260,570,4317
1430,760,4551
1440,670,4230
1280,700,4005
320,570,2910
360,690,2873
750,740,3985
1320,670,3145
390,640,2651
1350,580,3520
810,980,2968
1020,660,3236
1480,890,3676
1900,900,3814
380,680,2674
1420,730,4364
1280,600,3908
1340,630,4215
320,540,2753
1420,700,4758
1320,750,3408
1430,840,3254
1280,710,4102
1270,630,4009
380,700,2444
2030,1010,4022
1440,660,3748
380,500,2509
1370,610,2900
1370,690,3077
1910,970,3764
1350,710,3373
1430,750,3901
1430,770,3638
1340,660,2954
360,710,2504
1350,750,3227
320,520,2436
1260,710,3378
1690,820,3448
770,950,2690
380,590,2171
1270,690,3521
770,910,2575
1270,720,3200
1580,730,3128
1300,610,2606
320,580,2367
1320,730,3063
1270,650,3103
1680,810,4053
1840,980,3608
710,820,2576
1680,940,2889
1200,650,3053
1580,700,3341
320,550,2149
1260,530,3200
1420,710,3318
1010,660,2546
1080,510,3686
390,700,2214
1420,690,3409
1180,710,2651
1250,590,3008
1370,640,2338
1250,560,3090
1430,680,2737
1370,910,2516
1420,740,2849
1520,780,2628
430,730,1992
1440,650,2934
1520,690,2741
980,1610,2120
1330,730,3371
1080,700,2278
1080,740,2294
420,810,1953
1920,1080,1737
1260,630,2620
430,720,1778
1500,730,4468
1080,470,3673
380,710,1891
1300,630,2229
1270,610,2796
1280,580,2733
1680,970,2319
320,590,1967
1440,780,2344
1240,550,2104
830,1010,2233
1370,710,2342
1370,630,2226
1320,760,2497
320,430,1955
390,740,1748
1420,750,2591
1280,680,2238
1420,720,2455
410,840,1773
1320,740,2318
1400,680,3504
1440,900,2024
380,600,1811
1920,930,2220
1020,620,2146
1280,590,2570
1010,630,2172
1020,770,1620
1430,800,2613
1520,820,2580
1440,640,2473
390,710,1646
710,790,2140
410,850,1694
620,570,2394
360,480,1692
1270,670,2484
1190,720,2024
1320,700,2259
660,650,1881
1320,720,2390
620,600,2113
1920,1000,2334
410,820,1630
1920,960,1856
1360,690,2116
1110,720,1908
1300,660,2005
360,720,1591
1580,800,2127
1330,640,2046
1540,720,1960
1690,850,2174
410,560,1420
1260,750,1764
1260,540,2176
1280,760,1796
660,620,1803
2110,1040,2621
1200,680,2389
1290,700,1848
1500,690,3965
1260,730,1975
1910,940,2238
1270,620,1999
1350,690,2202
1420,800,2285
1520,850,2128
1410,710,1994
1350,590,2325
1330,700,2314
1080,500,1913
1350,740,1971
2030,1040,2189
1320,710,1999
1580,770,1720
1290,670,1769
1910,1000,1993
1260,700,1886
1270,640,2068
1020,680,1537
1900,1000,1993
1080,750,1397
1410,720,1928
830,1090,1521
1270,660,1857
1270,740,1800
1410,740,1831
1270,700,1853
320,500,1342
420,800,1410
1420,680,2115
1260,760,1585
1400,730,1900
1020,1260,1575
1010,770,1123
410,550,1314
1030,1610,1058
360,540,1440
770,900,1498
940,940,1824
1410,700,1931
1420,770,1863
1310,630,1540
1180,690,1616
1440,860,1531
750,750,1704
750,720,1621
1920,980,1555
390,690,1284
1660,850,1967
1410,730,1958
1270,600,1874
1400,710,1730
1220,580,1828
1200,620,1887
1410,690,1892
320,420,1280
1260,670,1917
1440,630,1967
1180,660,1702
1390,710,1758
1730,850,2006
420,780,1252
1200,840,1629
1420,850,1627
1020,690,1715
1400,640,2229
1260,860,1713
1680,880,1572
1350,730,1564
1540,760,1560
1200,700,1660
1910,950,1778
1080,480,1716
1270,710,1720
1240,580,1393
1380,690,1769
1260,640,1841
1380,710,1811
1220,610,2002
1330,610,2138
1420,820,1571
1910,980,1865
1110,760,1295
360,550,1127
1220,600,1838
1580,740,1478
1400,740,1727
1350,720,1571
1400,690,1630
1350,810,2553
380,510,1135
1240,600,1503
1370,950,1427
1200,670,1828
1390,740,1562
1350,680,1553
940,970,1455
1410,750,1521
1490,840,1675
1790,1040,1447
1680,990,1355
1260,820,1547
1660,880,1471
1580,720,1778
1320,770,1388
1400,720,1490
2540,940,1438
1680,910,1490
1790,1010,1610
1370,720,1619
1390,730,1476
770,960,1117
1230,570,1872
1370,730,1541
1370,760,1473
1330,740,1557
1490,800,1586
1110,710,1239
390,750,1030
360,530,1068
1430,810,1214
380,690,1073
380,770,1068
1020,610,1120
1340,730,1567
1520,680,1537
1270,590,1503
1330,710,1453
1380,740,1566
1370,600,1344
1400,700,1606
390,770,974
1190,700,1405
1310,710,1312
1470,750,1314
1460,760,1661
1380,720,1335
1380,730,1424
600,800,1099
1340,670,2032
1920,910,1293
1390,760,1390
1390,720,1492
1370,740,1409
1400,770,1412
1280,730,1330
1730,880,1636
420,760,992
1200,690,1528
600,840,1088
720,790,1310
1190,760,1204
1310,740,1368
1020,630,1119
1380,660,1558
1510,710,1239
1400,760,1323
1060,1610,1255
1420,670,1573
1260,680,1377
1910,1200,828
1200,730,1327
1690,800,1813
1310,730,1399
320,400,908
1310,720,1348
1340,710,1393
1360,720,1206
1580,780,1784
2540,1240,1330
1330,720,1309
1390,690,1265
1680,890,1298
1230,600,1354
1410,760,1460
600,830,946
1340,740,1371
1360,730,1361
720,840,1021
1400,750,1331
1680,860,1352
1360,710,1307
1360,740,1344
1600,1200,765
1390,700,1375
1340,700,1295
1920,950,1184
1020,730,1045
1180,750,1078
1540,790,1111
1250,600,1434
1260,920,1368
940,920,1140
1910,910,1457
1250,570,1563
720,820,1121
1240,650,1203
1240,700,1317
1680,920,1266
1440,830,1133
1200,750,1313
1310,750,1190
1390,750,1088
1430,670,1141
1250,610,1192
1300,730,1024
1380,760,1269
1310,660,1022
1680,950,1154
800,1240,1012
1410,680,1320
1330,750,1168
1310,700,1233
1340,690,1261
1290,730,1272
1340,720,1194
1650,970,1158
1180,700,1321
1680,870,1194
1200,740,1199
1860,970,1217
1250,630,1144
1840,1010,1136
1270,750,1304
1380,700,1181
1240,670,1122
1350,760,1241
1250,710,1153
1340,750,1173
810,970,977
1370,750,1268
1800,880,1396
510,670,887
1390,770,1130
1440,850,912
1300,710,1123
1180,740,1479
1360,700,1138
1380,750,1191
1190,710,1121
1140,610,1807
1420,780,1046
1110,770,839
1380,680,1194
1390,800,1202
380,750,808
430,840,760
810,1010,839
1920,1610,767
360,460,890
1510,740,1084
1340,650,1080
1150,560,1828
1250,640,1493
1360,750,1127
1320,690,1087
1040,660,760
1200,600,1167
1370,680,1087
1200,720,1167
820,1070,883
1330,690,1173
1410,770,1115
1080,680,957
1290,740,1169
1680,840,1155
770,1020,781
1290,710,1181
1430,660,1216
1370,890,999
1290,690,1017
1330,760,1087
1080,530,1568
1400,800,1003
1200,710,1117
1300,740,1043
1080,690,886
1270,730,944
1680,850,1211
410,580,776
1240,710,1124
1250,700,1083
420,790,797
1400,670,1066
1580,750,1035
1260,1290,1006
1300,720,1101
360,470,811
1370,900,932
1250,740,1076
1580,830,1032
1340,640,893
710,840,805
600,780,899
1020,570,1100
1020,750,923
1300,700,1012
1420,660,1257
1190,520,905
1410,670,1054
2540,970,946
360,740,659
430,810,670
1200,630,957
1270,580,1133
1280,570,1082
1660,920,1005
800,1090,1093
2560,1330,1034
1240,630,988
1300,750,995
1360,760,951
1250,670,1063
1150,590,1367
1200,660,1050
530,730,810
1240,590,1049
1900,870,1063
1350,780,1060
380,760,768
760,710,883
1310,690,1051
1280,750,918
1900,1030,996
770,930,870
680,610,778
1380,770,983
770,880,839
1250,650,953
1360,680,1134
1250,730,1040
1290,640,1744
400,300,621
2540,1250,1451
1240,660,1033
1230,670,1088
420,720,707
1250,580,1103
1430,650,1046
1790,950,913
1230,700,928
1290,720,966
1330,620,987
1190,650,989
1310,670,846
1340,620,819
1400,660,1085
1230,750,1150
1250,690,975
1330,680,1004
1230,710,1117
1920,1020,833
1370,960,686
620,610,967
1260,770,826
1410,660,1282
390,840,613
1680,770,1237
1330,650,927
1660,950,957
1340,680,942
1010,490,898
1190,550,977
1250,720,861
680,920,776
1390,680,1021
1340,760,879
1450,680,915
1330,630,910
1460,790,874
1200,640,971
1870,940,1182
1360,660,830
1650,1000,980
390,760,642
1020,720,1052
1370,570,855
1190,670,969
380,740,658
1190,690,892
670,620,770
2540,1270,1042
1350,790,915
770,940,711
1250,660,786
910,930,801
320,410,617
2610,1610,982
1240,740,874
1310,760,813
