aspectRatio,pageviews
1.5532,83
1.1806,271
1.4815,681
1.4639,105
1.6329,276
0.5244,149
1.4133,334
2.0465,256
2.029,1630
1.4674,187
1.9451,131
1.9508,583
1.0133,448
1.9098,5709
1.5873,182
1.4691,214
0.973,669
0.9867,418
1.7579,362
2.0556,1194
2.0787,178
1.7564,567
2.1846,925
0.9726,495
0.9691,1455
2.0685,254
1.2787,148
1.8523,260
0.5897,63
1.5875,485
1.6591,165
1.8442,1863
1.4937,275
1.9242,2108
1.0326,197
1.7778,32587
1.8111,232
0.5753,124
0.7593,409
1.3733,378
1.9902,252
1.6301,5352
1.7865,310
1.5729,120
1.0449,132
1.2742,88
2.5149,86
1.0822,447
1.0161,285
1.9792,5689
1.2581,258
1.6029,201
1.8652,667
1.6418,361
0.52,1030
1.3765,96
0.8361,92
1.3605,95
1.5116,154
1.8171,293
2.375,899
1.2444,114
2.0137,195
1.6024,178
0.987,181
2.1273,207
1.1077,157
1.0789,256
0.6308,8090
2.1687,374
1.3607,83
1.1071,430
0.6415,99
1.4045,176
1.9296,2342
2.1552,1103
1.3452,89
1.2135,132
1.519,305
0.5067,808
0.9844,397
1.4468,110
2.0179,398
0.7477,247
1.7586,773
1.0225,166
1.6615,580
2.2115,293
1.6354,109
1.4725,175
1.4524,188
0.816,462
1.9674,592
0.6724,54
2.4545,808
1.3281,293
1.7126,478
1.2063,94
1.6724,190
2.0533,5831
1.4487,96
2.0303,3485
2.1818,6587
2.0759,200
1.6064,168
1.7869,264
2.1228,444
2.1918,304
0.8367,106
1.3936,219
1.0737,98
0.8469,198
1.3731,87
1.2791,84
1.2131,96
2.0633,149
2.1268,1239
1.8525,319
1.2766,81
1.9248,1034
1.2451,75
1.5694,452
1.8118,281
1.6173,317
1.0217,1140
1.6719,225
2.0441,1021
0.5397,401
2.1346,148
1.4138,155
1.6833,547
1.5513,169
2.2444,181
1.0325,97
1.8507,1225
1.7917,1070
1.7191,221
1.3469,106
2.0886,181
1.4875,341
1.0455,172
1.3247,1620
2.3065,363
2.4583,125
1.9074,109
1.4512,128
0.8351,977
2.2206,220
2.0816,266
2.0469,772
1.7258,236
0.9695,99
1.7213,232
1.3118,142
1.6422,127
1.6977,211
1.8646,498
1.701,1158
0.869,106
1.4632,183
2.2973,71
1.3276,86
1.0597,117
1.4416,839
1.6962,412
1.8817,152
0.4624,308
2.2692,109
1.0488,116
0.5818,2149
0.5775,36546
2.0565,84
1.6882,140
1.1609,107
1.0407,263
1.88,1591
2.1754,863
1.963,561
1.4301,159
0.9863,692
1.6224,103
1.4066,466
1.7746,3378
1.569,61
1.5326,237
1.746,446
2.0549,232
1.8851,359
1.734,155
1.9464,179
2.058,3409
1.2745,209
1.5281,150
1.7711,187
1.5638,148
1.6639,103
1.2059,131
2.56,110
1.3178,613
1.5128,238
1.7674,572
2.2157,142
2.209,148
1.8478,243
1.9254,1769
1.3289,150
1.4722,348
2.3137,185
0.8875,221
1.7093,201
0.9792,4212
1.2295,136
1.7667,482
2.3594,95
2.5918,226
1.1964,125
1.6966,230
1.7925,11476
1.9545,871
1.7593,632
0.9747,156
0.9712,89
2.0141,5679
5.0,103
1.039,135
1.0423,522
0.74,69
1.2527,103
1.0125,110
2.0256,1784
0.9452,269
1.7471,242
1.1558,158
1.8854,177
1.837,594
1.9221,134
2.1125,1813
1.0795,114
1.8673,827
2.0649,521
1.4944,224
2.1304,297
1.8409,200
0.6833,8240
1.7011,477
1.5342,570
0.5479,113
0.5444,62
1.6854,333
1.5672,254
2.283,149
1.9877,160
1.3838,140
1.6271,104
1.2658,71
1.266,93
0.8588,238
2.0928,162
2.4783,70
1.5556,1254
1.9211,1661
1.7761,969
1.4533,271
1.3051,91
2.0233,220
1.3158,427
1.6216,1199
2.2182,737
0.8816,593
1.4568,193
1.2623,159
0.7867,66
1.6596,131
1.9429,1138
1.36,1122
1.299,124
1.2414,230
2.0106,240
2.3091,352
1.8305,462
1.4265,160
1.254,102
0.6176,112
0.7391,978
0.7755,2690
2.1549,117
1.3729,83
2.1286,177
1.0575,130
1.5844,430
1.4328,130
1.8723,93
1.3625,115
1.9712,368
1.6517,255
1.1644,272
1.8193,235
2.0342,762
2.0095,531
1.024,96
2.2698,709
1.7802,244
1.209,77
2.3519,287
0.8652,523
0.7692,1022
0.9429,93
0.6838,172
1.6222,189
1.5745,190
1.4872,130
1.2297,259
1.9063,683
2.2903,302
1.3896,196
1.7356,173
0.6212,4151
1.8143,1853
1.9512,378
1.7848,563
1.9891,214
1.6071,677
2.2241,205
2.0481,136
1.0714,780
0.882,183
1.4559,163
2.0132,141
2.1714,18043
1.0122,95
2.4355,154
1.7444,188
0.6531,7456
1.8427,237
0.974,211
0.7321,1420
2.0405,1084
1.6066,164
1.5362,388
1.869,175
1.8019,146
1.0735,175
1.7763,1241
1.2535,275
1.809,391
1.5467,555
2.4038,213
2.3279,226
1.8526,107
0.9552,151
1.8404,133
1.9231,1332
1.625,1733
2.0735,1320
1.0811,479
0.7347,84
1.534,87
1.8132,430
1.2625,180
2.2985,230
2.6667,112
2.2286,81
1.4058,209
1.4179,111
0.5735,6089
1.8929,527
1.6984,222
2.0444,273
2.34,94
1.04,639
0.9118,96
1.0492,143
1.7714,1317
1.8269,581
1.2254,356
1.2911,67
2.0145,1265
1.1143,281
1.2542,80
0.6759,201
1.8936,251
1.9149,128
1.0633,95
2.3696,215
2.06,75
2.3393,218
1.8444,682
1.5323,126
1.0779,133
1.4925,223
2.1923,346
1.3797,102
0.8902,110
1.3483,196
1.6538,206
1.7013,710
2.2553,72
1.1618,147
1.1846,109
2.5357,66
2.0238,222
0.6901,81
0.5616,28370
2.2407,216
1.5286,292
2.0476,1261
1.8036,229
1.4205,173
1.549,70
2.0606,830
1.3662,470
1.1266,81
1.2955,189
2.0506,349
2.0366,397
1.7625,769
1.4787,128
1.4891,8038
1.2698,88
1.7377,242
1.5432,254
1.6125,352
0.9766,100
1.0164,967
1.8592,1999
2.0349,210
2.3898,108
1.8806,1917
1.2679,69
1.1149,87
0.9143,89
1.2174,390
1.6883,579
2.0169,518
2.1279,187
1.5699,215
1.2093,98
2.3293,78
1.9466,330
1.4396,220
1.6471,757
1.3611,265
2.1974,139
2.2459,2900
1.2921,97
0.8953,313
1.2889,120
1.7556,286
0.5217,2873
1.413,145
0.9381,86
1.0543,180
1.1724,215
0.5932,152
0.8,1058
1.7822,98
1.4746,80
1.1978,93
2.3582,104
2.0317,6129
1.6404,187
2.0615,1080
1.6849,750
0.8295,288
0.5135,658
1.5325,444
2.4902,125
1.8659,238
1.8676,833
1.3594,93
1.1231,118
2.381,871
1.2333,219
1.5125,287
1.4505,329
2.0933,156
2.2778,777
0.6207,4718
1.954,284
2.012,373
1.6747,147
1.6494,594
1.0521,111
1.6044,132
1.7179,386
1.4324,377
1.4362,142
1.9425,228
0.5122,208
1.9306,1492
1.1477,96
1.6786,367
0.4737,64
2.2909,18612
1.4719,234
1.9833,767
1.5795,204
1.7344,412
0.9394,72
1.37,142
1.9538,11081
1.7879,1702
1.5309,141
0.9574,118
2.0986,415
1.6932,454
1.0149,66
2.1728,142
1.4384,420
1.5,6608
2.1379,1585
1.1944,254
1.4308,127
2.537,111
1.2419,79
1.9479,217
1.7722,585
1.6957,699
2.122,92
1.2338,160
1.8537,2580
1.8023,253
1.6703,666
1.0435,687
1.6167,154
1.0952,200
0.77,243
1.0532,99
1.7887,1720
1.7363,172
1.5921,413
2.4516,281
1.7176,166
1.2951,152
1.5082,105
0.5938,117075
1.56,537
1.3182,158
1.7831,624
1.2969,82
1.9302,567
1.2206,95
1.5667,542
1.1013,130
2.0192,97
0.507,2504
2.043,7435
0.9868,411
1.7234,196
1.8202,326
1.4382,219
1.6795,293
1.6395,270
2.2581,392
1.4,2313
0.9538,216
2.1513,189
2.061,3448
2.1124,233
2.1099,1293
1.4839,314
2.2969,174
1.8364,173
0.6708,479
1.9888,152
2.2143,864
1.6143,445
2.3175,129
1.0938,339
0.5857,27334
0.81,75
1.2468,166
1.9845,111
1.8971,778
1.8276,674
1.3919,374
1.4302,165
0.8684,120
1.5495,154
1.7976,243
1.6933,1304
1.6889,234
1.3043,396
1.0847,163
2.2037,340
2.1356,10085
1.4478,111
0.619,657
1.4896,114
1.2833,87
0.6129,12107
1.6477,278
1.6765,452
2.1967,736
1.3973,1045
0.65,70
1.6338,662
0.9697,91
1.7935,338
1.974,928
1.4921,86
2.1707,87
1.6061,317
2.1647,94
1.6393,167
0.7217,75
2.1194,1573
2.2745,96
0.8919,202
0.7069,776
1.5955,247
1.8608,227
1.9677,842
1.0658,219
1.2747,177
0.5316,797
2.3846,101
2.038,125
2.1573,985
0.7544,111
1.4928,379
1.1889,89
1.3704,155
1.9884,248
1.5846,202
1.7391,1827
1.939,268
1.3214,97
2.0282,22375
2.1692,842
1.1667,734
1.6559,212
1.7419,520
1.6809,156
0.8734,111
0.5588,2674
2.1333,5002
0.7619,1280
2.0323,13822
2.0612,898
0.9882,97
2.087,16178
0.9789,286
1.0299,180
1.619,1305
0.7778,275
1.7015,675
2.0738,82
0.961,247
1.6721,1120
1.3188,170
1.4239,152
1.4713,351
0.9531,94
0.5342,8563
1.4203,177
1.9104,5778
2.1236,245
2.1096,256
1.3258,135
2.4615,318
2.1368,593
0.8021,1117
0.9861,340
2.3049,101
0.4941,481
2.0541,5521
2.1026,145
0.8812,118
1.5224,17778
1.9867,235
1.5469,304
1.3176,66
1.9103,138
1.4648,411
0.7763,101
1.3656,202
0.5614,2910
0.5507,1073
1.6705,209
1.2609,342
2.0824,124
1.9419,558
1.7183,913
0.8058,172
1.3085,101
1.4945,164
0.5926,2753
2.1594,259
0.8851,392
1.1333,541
1.0758,111
2.3509,556
1.3898,90
0.5902,29184
2.2,2620
1.7386,283
1.7397,1039
1.1447,174
1.8267,1268
0.85,107
1.3438,214
1.6706,1627
1.8977,441
2.098,250
1.5122,112
1.473,482
2.46,77
1.6306,90
1.9101,279
1.6986,980
2.1864,343
1.5579,162
1.3286,194
1.3947,281
1.7941,756
1.9184,196
2.0562,242
2.1047,172
1.427,268
2.2167,794
2.1136,99
1.8725,636
1.678,216
1.5156,184
1.3256,93
0.7111,23292
0.7612,887
1.398,181
0.878,1203
2.092,150
2.1839,1063
2.322,733
1.2667,428
1.3034,119
0.7907,267
1.069,905
1.4023,133
2.1475,519
1.1111,538
1.4028,397
1.3509,67
2.3281,150
0.8817,227
1.2549,289
1.1475,151
0.5,5109
0.6575,122
1.3404,763
1.9067,3901
1.9348,270
1.0154,1881
1.8209,815
0.7361,83
1.6234,462
1.4167,1381
1.1413,126
1.914,369
0.5231,52
2.2456,1082
2.0326,211
0.9559,69
1.7971,883
1.5263,563
0.9474,969
1.3855,141
1.4359,67
1.2421,109
1.7403,705
2.0704,271
1.4048,312
1.3978,140
1.8144,105
1.5143,353
1.2299,101
1.7231,432
1.8148,347
2.0941,174
1.3871,276
1.9492,1367
1.0328,151
0.9041,145
1.7808,1024
0.6786,11791
2.1011,146
2.2121,104
1.8812,6686
1.5824,179
1.3651,83
2.3833,140
1.225,146
1.1236,74
2.1667,2734
1.6622,888
1.2874,82
2.2051,181
2.0938,1096
1.9268,181
1.7973,1557
2.7609,81
1.6286,605
1.7907,422
1.5366,1547
1.1311,290
1.5581,164
0.8488,117
1.8544,105
1.1356,124
2.0391,165
1.0274,585
1.775,2285
2.1159,426
0.5658,99
1.0656,267
1.5169,174
1.2717,105
1.7101,1616
2.2344,756
1.058,287
1.1429,762
1.1954,86
1.2022,103
1.716,446
1.6176,368
1.9189,2849
1.3968,103
1.3516,120
1.1194,173
2.1587,856
2.1447,125
1.0208,116
0.5765,108
2.1833,449
1.5882,1126
2.0267,116960
1.5192,77
0.6977,736
1.5663,185
1.7692,1198
1.2836,98
1.0395,310
1.8265,751
1.507,431
1.9519,2189
1.1324,139
0.6792,1068
0.6757,72
0.6809,353
1.7544,161
1.0294,152
2.1461,892
1.7286,784
1.7857,1522
0.8372,60
1.8873,1393
2.1642,144
1.5213,138
1.0549,144
1.9684,227
0.9778,71
1.9828,373
1.4583,582
1.7229,280
1.5909,364
1.1772,284
2.3235,160
1.0588,271
2.25,31433
1.4659,143
2.1023,86
1.8462,7108
0.625,82
1.3444,151
1.4624,178
1.3167,10267
2.449,71
1.825,269
1.3038,148
0.9694,106
1.7872,2889
1.6563,373
2.0843,285
1.2258,237
0.795,330
0.8704,121
1.9873,148
1.6506,209
2.0288,2621
1.7727,772
1.6211,1189
1.8588,202
1.4143,221
1.9041,1476
1.883,175
0.9595,377
0.9231,184
1.2647,76
1.8553,1460
0.9125,140
1.9239,154
12.6667,94
2.16,1913
1.4494,138
0.8846,179
1.1277,125
1.873,398
1.863,1361
1.1979,106
2.1341,81
2.8194,116
2.0625,953
1.3412,92
2.1045,1054
2.1636,977
1.6232,364
1.7033,155
1.475,250
1.9831,491
0.5385,1449
1.5625,724
1.3295,99
0.5672,4651
1.8767,1541
1.6197,595
2.0449,171
1.1774,128
1.6447,672
1.6049,232
2.0125,320
0.6429,38085
0.5758,655
2.0781,2046
1.8254,617
1.0119,80
1.7396,238
2.2879,166
1.1552,124
1.9825,367
1.5821,216
1.2987,132
0.9324,272
1.9388,15472
1.8068,251
1.0127,145
0.9054,196
1.5591,207
2.1311,2606
1.5161,410
1.1739,333
2.0847,750
1.4677,122
1.2796,163
1.6923,1274
1.3571,413
1.3821,159
1.5063,258
1.8438,788
2.0182,225
2.3167,142
0.9494,213
0.8205,70
1.9278,244
2.2364,542
0.866,70
1.4651,1713
1.0909,351
1.8387,586
1.0702,103
1.8353,196
1.6727,71
2.3684,14282
1.2442,67
1.7875,2613
1.7805,175
0.9787,97
1.2237,229
1.9146,194
2.0882,2115
1.2278,88
1.7215,476
1.8395,310
2.0952,1034
1.9143,1295
1.0316,76
0.5119,760
1.0806,770
0.6232,121
1.4353,134
1.0128,74
1.5606,171
2.04,651
1.6761,1121
1.377,109
1.9022,153
1.8034,163
1.7547,77
1.4824,602
1.3944,290
2.033,278
0.9571,284
2.3889,90
1.7895,2134
0.9794,172
1.7021,922
1.7159,150
1.9859,1994
2.02,567
2.0505,365
1.918,402
2.1343,1141
0.9278,71
2.2703,634
1.2097,155
0.4638,124
1.4845,78
1.1719,185
0.8509,254
1.8361,360
1.7538,1066
1.4103,103
1.8649,1566
1.9394,5898
1.6935,240
1.5976,120
1.1948,139
1.046,86
1.7849,525
1.7753,256
1.9487,2628
1.8515,124
1.6939,370
0.5429,2444
2.8864,301
1.3816,324
1.7455,327
0.9241,174
1.0563,4462
1.5902,122
1.6235,188
2.0536,1828
2.2333,544
1.5978,149
1.5217,498
1.8272,238
2.0976,71
2.0779,267
0.5846,3112
1.1406,135
1.0152,620
1.4557,171
1.4857,380
1.1389,253
1.7125,979
2.05,1480
1.8312,1115
1.3382,125
1.8732,1453
1.0704,883
1.2619,81
1.6729,82
1.4111,242
2.1392,472
1.082,400
1.5942,328
0.6964,142
1.0375,183
1.7901,268
0.8767,88
2.0294,1194
1.9701,3145
1.7606,1153
1.3617,90
1.4842,146
0.9385,72
1.871,534
1.411,390
0.9796,87
1.7791,241
2.3012,178
2.1622,213
0.7031,89
1.9365,572
0.5965,281
0.7805,617
1.6825,174
2.1519,140
1.9051,85
0.766,811
1.5316,176
1.8025,332
1.8367,167
1.44,1397
1.5208,103
1.2118,62
1.679,326
0.9873,201
1.8163,345
1.5417,2028
1.6988,192
1.988,215
1.5783,154
1.5065,270
1.5176,126
1.2222,532
2.2353,2088
2.5,817
0.5412,150
1.8416,86
0.7667,67
1.6528,2024
2.1791,165
1.2807,192
1.459,100
1.6341,141
1.4605,1295
1.5059,133
1.1864,120
1.8861,265
2.2535,95
2.0988,98
1.7755,113
1.0879,100
1.9818,411
1.6344,183
0.5079,400
1.9924,93
1.2674,80
1.9744,263
1.9863,283
0.9859,315
1.9474,653
1.2593,152
0.9806,116
1.1839,91
1.1047,75
1.8108,1371
1.4762,231
1.9783,182
1.0787,104
0.5645,243
2.2963,366
1.8913,171
1.9571,5961
1.9452,4364
1.0759,112
1.7738,1675
1.4157,634
2.0921,623
0.481,135
0.5556,253
1.2703,293
0.5493,1646
2.0196,85
1.8617,94
1.6111,752
1.0337,84
0.9011,77
1.9158,100
2.0617,240
1.6292,249
1.5618,137
2.2766,229
1.8451,1312
1.8026,1473
1.24,185
1.7882,2128
1.6979,62
1.1319,74
1.2778,392
1.1364,480
1.814,197
1.2881,139
1.0417,1684
1.5972,533
1.6814,258
2.0455,155856
1.7263,223
1.4556,184
1.6941,912
1.6495,794
2.339,192
1.3889,568
1.6327,145
1.9625,176
2.1039,115
1.5682,193
2.3625,155
1.1228,242
1.3,1124
1.8721,212
1.0526,390
1.0167,105
2.0484,3329
1.0116,84
1.8356,1567
1.6709,614
1.1444,123
1.0444,516
1.2366,142
1.3488,75
2.0328,875
1.5155,69
0.5405,86
1.6282,241
2.5842,164
1.0899,94
1.5895,204
2.1154,248
0.8701,239
0.82,223
1.2615,108
0.8409,279
1.8734,273
1.6628,348
2.2787,315
2.1644,3128
1.9059,139
2.2041,650
0.7158,71
1.7816,160
1.9385,6957
2.3077,292
1.7288,696
2.0702,514
1.7733,1168
1.7024,3254
1.0317,132
1.6848,232
1.8795,102
1.175,150
1.4098,106
1.587,191
1.1642,78
1.9672,724
0.5806,22082
0.9592,173
1.8289,1390
0.56,227
2.0435,2400
2.026,379
1.7262,185
1.6582,349
1.9107,217
1.8061,101
1.7794,748
1.8974,208
1.0132,217
2.0429,4523
1.6526,170
2.2838,282
1.4176,132
1.7615,450
0.5733,25574
1.5814,208
1.2381,88
1.2273,202
0.4824,1694
0.6504,72
1.3864,167
1.5067,391
2.1127,410
2.2738,173
1.859,151
0.5584,119
0.95,181
0.8265,2968
1.1688,150
1.1809,67
2.0308,614
2.2043,102
2.027,596
1.7379,178
0.939,106
1.7765,220
2.0375,172
2.093,279
1.9778,333
1.1892,265
1.5574,116
1.7945,1399
1.1702,105
0.9111,89
1.9125,170
1.8493,1564
1.3151,248
2.0526,797
1.2714,241
1.5056,203
2.1316,332
0.7969,607
1.3371,150
0.8191,711
0.5652,1284
1.9518,129
1.186,524
2.2471,193
1.6421,148
2.0143,1931
0.7714,131
1.0421,186
2.4051,96
1.5714,1491
1.322,109
1.5823,311
1.075,80
0.9921,109
0.4556,5139
1.6207,393
1.4262,98
1.2088,92
2.0571,17060
1.3521,205
1.6196,248
0.5763,210
1.0303,379
1.6406,270
2.2759,224
2.2619,651
1.8133,1127
1.0746,80
1.3298,106
1.5521,126
0.4444,78
1.4271,686
1.989,148
1.0761,432
1.3165,108
0.6094,2651
2.0814,486
0.6615,60
2.2931,474
1.3971,193
0.5571,2214
1.1351,320
1.5222,932
2.0857,542
1.5952,224
1.5109,150
2.2979,3673
1.4643,116
1.7568,1043
1.1029,125
0.863,80
1.2462,165
1.0889,130
1.9186,269
1.2241,72
1.7927,179
1.3778,245
1.9516,673
1.9028,1619
1.8103,140
1.7303,189
1.6744,1531
1.1096,382
1.9155,1307
1.9722,2645
1.8571,6094
1.358,120
1.903,195
0.9771,168
0.9865,551
1.5444,194
1.8784,1562
0.6832,50
1.0685,445
1.1207,98
2.1222,731
0.8226,350
1.9765,1211
1.7959,167
1.8514,1409
1.4574,239
1.8365,120
0.2547,113
0.7889,87
2.0548,4468
1.1744,89
0.7888,316
1.8085,214
0.6552,6822
0.5059,94
1.5275,111
0.5467,14370
1.6279,138
2.3208,165
2.0568,161
1.5054,326
0.9351,423
1.89,179
1.3191,99
0.9891,166
2.1509,281
2.0638,71
0.6034,301
2.1605,114
1.5529,229
2.2917,85
1.1148,778
1.3763,155
1.5568,517
1.9804,206
1.3939,112
2.1081,290
1.1848,80
1.8242,12935
1.4306,301
2.0962,365
1.5738,103
1.0533,394
1.9444,1780
1.2879,494
1.7612,912
1.4603,96
1.5152,210
1.0282,489
1.7317,1571
2.0161,960
1.1692,105
1.7647,2746
1.8837,262
1.9245,335
2.1481,192
1.9111,179
1.1404,177
0.4643,613
1.7067,918
1.5747,313
1.7531,481
1.3431,254
0.8533,86
1.3788,164
1.0986,751
1.7717,211
0.783,286
2.1607,555
1.6118,302
1.6316,854
1.9886,244
2.0222,173
1.6237,181
1.878,338
0.7703,73
1.5926,323
2.0659,255
2.3019,306
1.52,672
1.12,277
1.4086,211
1.8391,201
1.1519,147
1.9655,1007
0.9383,97
1.5167,205
1.7527,180
1.2143,433
1.2262,77
2.0595,599
0.8105,2690
0.8202,116
1.6505,114
2.0105,1778
2.1017,1049
1.4355,79
1.1299,155
1.3676,124
1.038,130
1.9265,719
1.6119,578
2.1781,148
1.6774,441
1.407,93
0.8537,438
1.3824,176
0.589,1992
1.8605,216
1.9785,217
1.6154,999
1.06,412
1.3243,299
1.1094,105
1.732,2319
1.3882,172
0.6111,142
2.3864,196
1.4756,100
2.3265,363
1.2432,319
2.1389,2124
0.5152,50
1.6264,239
0.5972,1778
0.8611,104
1.8243,1971
2.075,374
2.186,116
1.4658,412
2.0896,1066
1.7018,112
1.5893,109
1.3803,341
1.9437,1811
1.0923,217
1.0462,346
1.8293,143
1.0448,575
1.3714,258
1.1967,106
1.9412,1276
1.575,455
0.7329,230
2.6071,80
1.7867,1173
1.7536,616
1.3908,141
1.2429,265
1.4194,281
1.8987,146
1.0213,244
2.0119,661
2.1899,123
1.8906,523
1.7121,353
1.8081,404
1.5536,85
1.7053,181
1.0108,5988
1.1075,166
1.6634,93
0.7018,487
2.1977,259
1.8539,379
1.2785,116
1.0143,311
1.2388,113
1.7241,430
1.4769,160
2.3457,149
1.8548,325
0.9271,84
0.6481,112
0.5821,8815
2.0959,316
1.675,525
1.6822,104
1.8955,3081
1.0625,779
1.8447,996
1.4627,238
2.1186,3008
1.1833,112
0.6883,138
0.9167,202
1.7619,739
1.2857,529
1.5287,230
1.2963,80
2.0213,244876
1.1857,256
0.5062,5326
2.1059,170
1.9659,1636
1.4915,67
1.7432,1169
0.7473,174
1.9286,7210
1.6716,337
2.0364,285
1.4247,325
1.8495,163
1.8704,199
1.7838,2318
1.8556,359
1.7324,1117
0.6584,1255
1.8194,1348
0.6,15272
1.4368,294
2.1324,915
0.9661,635
2.0875,138
0.883,223
2.3103,288
1.4483,735
1.6792,102
2.0652,9580
0.7941,415
2.08,334
1.4407,114
2.1029,2737
1.3333,10013
1.5645,255
1.4337,222
0.8553,105
1.8989,192
1.5147,193
1.5917,828
0.8952,137
2.1455,423
1.5696,247
2.4237,114
1.443,134
1.686,221
2.24,458
2.3654,329
2.0109,231
1.5811,576
1.9551,636
0.9922,77
2.1705,626
0.5915,260
1.9881,450
1.1039,109
1.7054,115
1.5789,872
2.0385,342
1.8657,1063
1.8488,161
0.506,586
1.6379,82
1.7595,511
1.2021,74
1.6034,105
1.8046,224
0.8974,103
1.48,474
1.5333,799
1.194,123
2.0118,168
2.3385,494
1.3093,73
0.5455,15490
0.6769,90
1.7253,194
2.2063,266
2.4423,163
2.2308,258
1.0441,169
1.2235,131
1.3623,189
1.9389,645
1.1571,284
1.9718,1730
1.8469,481
0.942,86
1.9362,139
2.3571,139
1.2321,79
1.6105,193
2.1525,1503
0.8462,2575
1.9683,988
0.6269,358
1.4684,151
0.6286,112
1.6078,77
1.4933,377
1.9894,1182
1.4638,369
1.1884,178
2.3415,75
1.4932,450
1.6737,145
1.7468,512
1.7703,1368
1.1183,130
1.3372,105
0.9583,404
2.0253,753
1.5522,229
1.7952,252
1.0123,76
2.1579,1945
1.2759,79
1.1222,131
1.9118,729
2.0989,1457
2.0139,353
2.0098,181
1.1831,315
1.9462,135
0.5256,21767
1.2292,101
1.7576,500
1.2184,114
2.1944,1778
1.6491,129
1.8033,416
1.3784,480
2.0167,476
1.7541,296
1.6351,758
1.8871,557
2.1264,155
1.9639,189
2.6737,192
2.0862,421
1.0959,255
2.2927,132
1.1897,120
1.1343,119
0.5211,71
1.3291,54
0.7975,100
1.9875,271
0.6393,492
2.2857,3527
1.969,738
1.321,113
1.3448,136
0.8228,122
2.254,512
1.956,386
2.0795,128
1.1124,153
1.2842,108
0.83,689
1.3226,263
0.5538,31589
1.9595,440
1.5775,486
2.2105,4406
1.1905,105
1.125,764
0.8082,343
1.6484,139
0.7207,667
1.2391,138
2.2549,238
1.4154,130
2.0645,6888
0.9846,270
1.7679,194
1.8454,244
2.0538,535
1.7295,761
1.4848,140
2.38,87
1.7079,292
0.7234,246
1.371,152
1.9767,295
1.8791,132
1.0989,86
0.6646,106
1.5778,241
1.0842,114
1.6667,7577
1.9634,156
2.1591,34026
1.6579,1585
0.6122,292
1.3699,275
2.0448,13752
1.8313,524
2.0482,189
1.2373,96
1.9398,140
1.4063,239
1.2923,100
1.8082,3063
2.1143,239
2.1628,162
1.8197,562
1.1159,260
1.1087,247
1.1828,174
1.0508,268
2.2679,466
1.0652,235
1.8857,2259
0.7642,109
1.5543,202
1.9848,1022
1.7473,190
2.2941,82
1.971,2116
0.7931,515
0.9146,106
1.4366,535
1.9892,218
1.2162,309
0.6383,110
0.6723,424
2.2394,181
1.9811,117
1.8222,178
1.5652,1078
1.6901,1117
0.525,1410
1.4479,92
0.8333,188
1.5132,493
2.2154,2934
1.1493,92
0.9,558
0.8049,61
0.7455,1314
1.5424,99
