aspectRatio,pageviews
1.3125,81678
1.75,22148
2.0,101910
3.0,128
4.0,52
0.6087,2120
0.5625,7501
1.0,11403
1.033,581
2.0426,6320
2.5472,270
1.9605,311
1.3235,161
1.3378,424
0.9306,146
1.2985,83
2.6042,120
1.5165,295
1.2895,164
1.9589,5943
1.6618,359
1.5938,3354
0.75,3237
1.1895,89
1.9753,289
2.2533,152
0.6522,557
1.92,16922
2.194,160
1.9624,651
2.28,111
1.9157,198
1.3386,69
0.8857,77
1.908,590
1.6145,136
2.0135,311
2.088,112
1.5758,760
1.9293,304
1.9821,300
1.0814,77
1.6324,501
2.2537,114
2.0926,189
1.6771,80
0.9459,397
0.48,65
1.3789,76
1.2469,85
1.3152,108
0.7229,946
2.1235,92
0.8929,93
1.8421,1607
2.1354,167
2.1048,146
2.4909,118
0.6441,2171
1.8889,2684
1.5843,198
2.1746,2226
0.8481,624
1.4177,150
1.4833,85
1.9836,511
1.7683,185
1.2083,307
1.3721,509
0.9894,383
1.0536,71
2.1852,525
1.0638,79
2.2586,186
2.3051,202
0.8438,284
1.1067,242
0.9296,157
1.4091,247
0.875,1151
2.1406,2338
2.1266,399
0.4884,85
2.1053,1271
1.3766,182
1.6552,284
0.7445,248
1.5397,155
1.8452,221
1.7517,97
0.6333,1811
1.8904,1424
1.6067,389
2.169,4524
0.7419,98
1.3934,97
0.9875,98
1.68,1863
1.9667,980
2.1139,213
2.0133,1128
1.1125,87
1.3974,90
0.8778,78
0.9368,80
1.5077,169
1.7206,502
0.9618,76
2.4194,145
2.1493,4230
1.0308,247
2.0575,281
1.4607,133
2.0278,404
1.5541,523
1.9846,950
1.2903,255
1.9844,2553
1.7222,1349
1.4507,466
1.9326,113
1.7381,193
1.4459,481
0.4932,347
1.337,169
1.0778,73
1.9136,175
2.0741,4291
2.3231,211
0.9211,250
2.3276,3520
1.631,379
1.9341,187
2.2373,303
2.1912,181
2.5263,100
1.9681,253
1.197,100
1.9053,110
2.0299,842
1.8901,124
2.8539,68
1.1573,99
2.3704,474
0.5797,110
1.3854,89
1.4125,258
1.6557,576
0.6712,89
1.0781,244
1.9649,376
0.913,335
1.131,101
0.5904,153
1.4412,142
1.0215,257
1.7128,134
0.575,191
1.8919,1727
2.1042,487
2.0395,194
2.2209,721
1.1167,190
0.9462,100
2.1077,25983
2.6471,156
1.9579,280
1.8191,171
1.193,100
1.4792,138
1.913,1243
0.5574,146
1.9468,108
1.1912,108
1.642,248
1.9082,172
2.0893,506
2.0128,174
