height,pageviews
1140,567
1300,10546
760,158351
1260,2276
660,296074
1610,8644
490,15227
690,126629
20,128
1070,2944
1340,1706
540,38124
340,172
400,990
810,54455
280,1675
930,40110
1460,95
1090,11009
990,6116
1310,1748
670,157295
1150,240
710,171575
1490,97
260,239
1060,14252
410,2275
530,26317
920,55479
370,693
1380,616
820,98200
290,1002
590,68270
1320,1284
1080,5355
1120,674
980,33218
310,415
700,162331
270,120
390,843
830,23461
790,140020
520,44403
1250,2868
420,3301
1010,20275
910,74369
360,415
1130,987
1230,1373
720,568144
580,239627
300,1315
440,7159
1330,8375
380,754
1410,136
1370,921
900,37749
780,50675
840,67262
30,235
1240,3215
510,28821
430,3013
1000,10601
620,192201
1220,1310
450,24819
570,58331
330,2060
240,303
250,244
1420,81
850,31421
970,181726
730,168946
650,142625
1030,2411
500,11352
630,256034
1210,759
750,244784
560,86421
1350,69
460,8419
1200,17466
1590,117
10,329
960,108183
1020,17595
40,359
860,44236
1180,232
1480,124
1450,314
1100,1413
740,127419
150,128
880,71781
1160,803
600,99547
550,177628
230,146
1050,2382
640,190767
950,40657
1470,105
870,23929
1110,1285
320,1133
1440,120
1290,2939
890,44541
770,114373
1170,1260
1270,1792
610,282506
350,146
480,8489
1040,8883
1280,1835
940,286579
470,8091
1360,794
1190,938
800,70836
680,85301
